index,Rk,Player,Pos,Tm,Cap Hit
0,1,Kirk Cousins,QB,WAS,23943600
1,2,Trumaine Johnson,CB,LAR,16742400
2,3,Josh Norman,CB,WAS,16500000
3,,Von Miller,LB,DEN,16500000
4,5,Justin Houston,LB,KAN,16350000
5,6,Matt Ryan,QB,ATL,15750000
6,7,Carson Palmer,QB,ARI,15500000
7,8,Muhammad Wilkerson,DT,NYJ,14750000
8,9,Sam Bradford,QB,MIN,14000000
9,10,Malik Jackson,DT,JAX,13500000
10,11,Gerald McCoy,DT,TAM,13250000
11,12,Cam Newton,QB,CAR,13166666
12,13,Andy Dalton,QB,CIN,13100000
13,14,Eli Manning,QB,NYG,13000000
14,,Drew Brees,QB,NOR,13000000
15,,Dez Bryant,WR,DAL,13000000
16,17,Janoris Jenkins,CB,NYG,12900000
17,18,Ezekiel Ansah,DE,DET,12734000
18,19,Russell Wilson,QB,SEA,12600000
19,20,Aaron Rodgers,QB,GNB,12550000
20,21,Le'Veon Bell,RB,PIT,12120000
21,22,Ben Roethlisberger,QB,PIT,12000000
22,23,Olivier Vernon,DE,NYG,11750000
23,24,Julio Jones,WR,ATL,11500000
24,25,Richard Sherman,DB,SEA,11431000
25,26,Trent Williams,T,WAS,11250000
26,27,Larry Fitzgerald,WR,ARI,11000000
27,,Aqib Talib,DB,DEN,11000000
28,,Philip Rivers,QB,LAC,11000000
29,30,Alex Smith,QB,KAN,10800000
30,31,J.J. Watt,DE,HOU,10500000
31,32,A.J. Green,WR,CIN,10300000
32,33,Clay Matthews,LB,GNB,10100000
33,34,Ndamukong Suh,DT,MIA,9985000
34,35,Patrick Peterson,CB,ARI,9750000
35,,Marcell Dareus,DT,2TM,9750000
36,37,Duane Brown,G,2TM,9400000
37,38,Vontae Davis,DB,IND,9000000
38,,Calais Campbell,DE,JAX,9000000
39,,Cordy Glenn,T,BUF,9000000
40,41,Justin Pugh,OG,NYG,8821000
41,42,Joe Thomas,T,CLE,8800000
42,43,Damon Harrison,DT,NYG,8750000
43,44,Randall Cobb,WR,GNB,8600000
44,45,Byron Maxwell,DB,2TM,8500000
